Title,Author,Year,ISBN-13
Onyx Storm,Rebecca Yarros,2025,978-1649374189
The Let Them Theory,Mel Robbins,2025,978-1401979430
Sunrise on the Reaping,Suzanne Collins,2025,978-1339049441
The Crash,Freida McFadden,2025,978-1728296234
The Three Lives of Cate Kay,Kate Fagan,2025,978-1668076217
To Kill a Mockingbird,Harper Lee,1960,978-0060935467
The Great Gatsby,F. Scott Fitzgerald,1925,978-0743273565
Atomic Habits,James Clear,2018,978-0735211292
Allies at War,Tim Bouverie,2025,978-0525656111
Last Twilight in Paris,Pam Jenoff,2025,978-0778307983
The Umbrella Maker's Son,Tod Lending,2025,978-0063413849
The Riveter,Jack Wang,2025,978-0063081833
Remember Us,Robert M. Edsel,2025,978-0785292722
Beneath the Sicilian Stars,Lindsay Marie Morris,2025,978-1805089308
The Achilles Trap,Steve Coll,2024,978-0525562337
Red Clay,Charles B. Fancher,2025,979-8212408691
All Quiet on the Western Front,Erich Maria Remarque,1929,978-0449213902
The Art of War,Sun Tzu,-5,978-1590302255
The Unwomanly Face of War,Svetlana Alexievich,1985,978-0399588723
Beneath a Scarlet Sky,Mark T. Sullivan,2017,978-1542045667
Catch-22,Joseph Heller,1961,978-1451626650
If This Is a Man,Primo Levi,1947,978-0349100135
The Dressmakers of London,Julia Kelly,2025,978-1668032725
